10,Counter-Strike,Action,FPS,Multiplayer,Classic,Shooter,Team-Based,Competitive,First-Person,Tactical,1990's,e-sports,PvP,Strategy,Military,Score Attack,1980s,Assassin,Survival,Ninja,Tower Defense
20,Team Fortress Classic,Action,FPS,Multiplayer,Classic,Shooter,Class-Based,Team-Based,First-Person,Co-op,1990's,Competitive,Fast-Paced,Remake,Mod
30,Day of Defeat,FPS,World War II,Multiplayer,Action,Shooter,Team-Based,War,Classic,Class-Based,First-Person
40,Deathmatch Classic,Action,FPS,Multiplayer,Classic,Shooter,First-Person,Arena Shooter
50,Half-Life: Opposing Force,FPS,Action,Sci-fi,Singleplayer,Classic,Shooter,First-Person,Aliens,Adventure,1990's,Atmospheric,Military,Co-op
60,Ricochet,Action,FPS,Multiplayer,First-Person,Cyberpunk,Classic,Space,Conspiracy,Sci-fi,Shooter
70,Half-Life,FPS,Classic,Action,Sci-fi,Singleplayer,Shooter,Aliens,First-Person,1990's,Multiplayer,Adventure,Story Rich,Atmospheric,Silent Protagonist,Moddable,Great Soundtrack,Linear,Difficult,Retro,Funny
80,Counter-Strike: Condition Zero,Action,FPS,Shooter,Multiplayer,Singleplayer,Tactical,Competitive,First-Person,Team-Based,Classic,Strategy,Adventure,Online Co-Op,Military
130,Half-Life: Blue Shift,FPS,Action,Sci-fi,Singleplayer,Shooter,Aliens,First-Person,Classic,Adventure,Zombies,Short,1990's,Atmospheric,Story Rich
219,Half-Life 2: Demo
220,Half-Life 2,FPS,Action,Sci-fi,Classic,Singleplayer,Story Rich,Shooter,Adventure,First-Person,Dystopian ,Atmospheric,Zombies,Great Soundtrack,Aliens,Silent Protagonist,Physics,Moddable,Horror,Multiplayer,Puzzle
240,Counter-Strike: Source,Action,FPS,Multiplayer,Shooter,Team-Based,Tactical,First-Person,Competitive,PvP,Military,Moddable,War,e-sports,Strategy,Difficult,Singleplayer,Survival,Simulation,Atmospheric,Sandbox
280,Half-Life: Source,FPS,Action,Classic,Sci-fi,Singleplayer,Shooter,First-Person,Aliens,Zombies,Story Rich,Adventure,1990's,Remake,Multiplayer,Atmospheric,Moddable,Horror,VR
300,Day of Defeat: Source,FPS,World War II,Action,Multiplayer,Team-Based,Shooter,Military,Class-Based,War,Historical,First-Person,Tactical,Classic,Realistic,Massively Multiplayer,Strategy,Gore
320,Half-Life 2: Deathmatch,Action,FPS,Multiplayer,Shooter,Sci-fi,First-Person,Physics,Competitive,Funny,Co-op
340,Half-Life 2: Lost Coast,FPS,Action,Sci-fi,Singleplayer,Short,First-Person,Shooter,Dystopian ,Adventure,Aliens,Futuristic,Benchmark,Atmospheric,Classic,Multiplayer,Free to Play
360,Half-Life Deathmatch: Source,Action,FPS,Multiplayer,Sci-fi,Shooter,First-Person,Classic
380,Half-Life 2: Episode One,FPS,Action,Sci-fi,Singleplayer,First-Person,Story Rich,Shooter,Classic,Dystopian ,Adventure,Aliens,Zombies,Episodic,Short,Atmospheric,Great Soundtrack,Silent Protagonist,Cinematic,Puzzle,Moddable
400,Portal,Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Action,Funny,Platformer,FPS,Short,Story Rich,Classic,Physics,Adventure,Science,Atmospheric,Dark Humor,Great Soundtrack,Strategy
