id,tag
10,Action
10,FPS
10,Multiplayer
10,Classic
10,Shooter
10,Team-Based
10,Competitive
10,First-Person
10,Tactical
10,1990's
10,e-sports
10,PvP
10,Strategy
10,Military
10,Score Attack
10,1980s
10,Assassin
10,Survival
10,Ninja
10,Tower Defense
20,Action
20,FPS
20,Multiplayer
20,Classic
20,Shooter
20,Class-Based
20,Team-Based
20,First-Person
20,Co-op
20,1990's
20,Competitive
20,Fast-Paced
20,Remake
20,Mod
30,FPS
30,World War II
30,Multiplayer
30,Action
30,Shooter
30,Team-Based
30,War
30,Classic
30,Class-Based
30,First-Person
40,Action
40,FPS
40,Multiplayer
40,Classic
40,Shooter
40,First-Person
40,Arena Shooter
50,FPS
50,Action
50,Sci-fi
50,Singleplayer
50,Classic
50,Shooter
50,First-Person
50,Aliens
50,Adventure
50,1990's
50,Atmospheric
50,Military
50,Co-op
60,Action
60,FPS
60,Multiplayer
60,First-Person
60,Cyberpunk
60,Classic
60,Space
60,Conspiracy
60,Sci-fi
60,Shooter
70,FPS
70,Classic
70,Action
70,Sci-fi
70,Singleplayer
70,Shooter
70,Aliens
70,First-Person
70,1990's
70,Multiplayer
70,Adventure
70,Story Rich
70,Atmospheric
70,Silent Protagonist
70,Moddable
70,Great Soundtrack
70,Linear
70,Difficult
70,Retro
70,Funny
80,Action
80,FPS
80,Shooter
80,Multiplayer
80,Singleplayer
80,Tactical
80,Competitive
80,First-Person
80,Team-Based
80,Classic
80,Strategy
80,Adventure
80,Online Co-Op
80,Military
130,FPS
130,Action
130,Sci-fi
130,Singleplayer
130,Shooter
130,Aliens
130,First-Person
130,Classic
130,Adventure
130,Zombies
130,Short
130,1990's
130,Atmospheric
130,Story Rich
220,FPS
220,Action
220,Sci-fi
220,Classic
220,Singleplayer
220,Story Rich
220,Shooter
220,Adventure
220,First-Person
220,Dystopian 
220,Atmospheric
220,Zombies
220,Great Soundtrack
220,Aliens
220,Silent Protagonist
220,Physics
220,Moddable
220,Horror
220,Multiplayer
220,Puzzle
240,Action
240,FPS
240,Multiplayer
240,Shooter
240,Team-Based
240,Tactical
240,First-Person
240,Competitive
240,PvP
240,Military
240,Moddable
240,War
240,e-sports
240,Strategy
240,Difficult
240,Singleplayer
240,Survival
240,Simulation
240,Atmospheric
240,Sandbox
280,FPS
280,Action
280,Classic
280,Sci-fi
280,Singleplayer
280,Shooter
280,First-Person
280,Aliens
280,Zombies
280,Story Rich
280,Adventure
280,1990's
280,Remake
280,Multiplayer
280,Atmospheric
280,Moddable
280,Horror
280,VR
300,FPS
300,World War II
300,Action
300,Multiplayer
300,Team-Based
300,Shooter
300,Military
300,Class-Based
300,War
300,Historical
300,First-Person
300,Tactical
300,Classic
300,Realistic
300,Massively Multiplayer
300,Strategy
300,Gore
320,Action
320,FPS
320,Multiplayer
320,Shooter
320,Sci-fi
320,First-Person
320,Physics
320,Competitive
320,Funny
320,Co-op
340,FPS
340,Action
340,Sci-fi
340,Singleplayer
340,Short
340,First-Person
340,Shooter
340,Dystopian 
340,Adventure
340,Aliens
340,Futuristic
340,Benchmark
340,Atmospheric
340,Classic
340,Multiplayer
340,Free to Play
360,Action
360,FPS
360,Multiplayer
360,Sci-fi
360,Shooter
360,First-Person
360,Classic
380,FPS
380,Action
380,Sci-fi
380,Singleplayer
380,First-Person
380,Story Rich
380,Shooter
380,Classic
380,Dystopian 
380,Adventure
380,Aliens
380,Zombies
380,Episodic
380,Short
380,Atmospheric
380,Great Soundtrack
380,Silent Protagonist
380,Cinematic
380,Puzzle
380,Moddable
400,Puzzle
400,First-Person
400,Singleplayer
400,Sci-fi
400,Comedy
400,Female Protagonist
400,Action
400,Funny
400,Platformer
400,FPS
400,Short
