id,title,developer1,developer2,developer3,developer4
10,Counter-Strike,Valve
20,Team Fortress Classic,Valve
30,Day of Defeat,Valve
40,Deathmatch Classic,Valve
50,Half-Life: Opposing Force,Gearbox Software
60,Ricochet,Valve
70,Half-Life,Valve
80,Counter-Strike: Condition Zero,Valve
130,Half-Life: Blue Shift,Gearbox Software
220,Half-Life 2,Valve
240,Counter-Strike: Source,Valve
280,Half-Life: Source,Valve
300,Day of Defeat: Source,Valve
320,Half-Life 2: Deathmatch,Valve
340,Half-Life 2: Lost Coast,Valve
360,Half-Life Deathmatch: Source,Valve
380,Half-Life 2: Episode One,Valve
400,Portal,Valve
420,Half-Life 2: Episode Two,Valve
440,Team Fortress 2,Valve
500,Left 4 Dead,Valve
550,Left 4 Dead 2,Valve
570,Dota 2,Valve
620,Portal 2,Valve
630,Alien Swarm,Valve
660,Portal 2 Sixense MotionPack DLC,Sixense Studios
730,Counter-Strike: Global Offensive,Valve
1002,Rag Doll Kung Fu,Mark Healey
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive
1230,Mare Nostrum,Sandstorm Productions
1250,Killing Floor,Tripwire Interactive
1256,Killing Floor Outbreak Character Pack,Tripwire Interactive
1257,Killing Floor: Nightfall Character Pack,Tripwire Interactive
1280,Darkest Hour: Europe '44-'45,Darklight Games
1300,SiN Episodes: Emergence,Ritual Entertainment
1500,Darwinia,Introversion Software
1510,Uplink,Introversion Software
1520,DEFCON,Introversion Software
1530,Multiwinia,Introversion Software
1600,Dangerous Waters,Sonalysts
1610,Space Empires IV Deluxe,Malfador Machinations
1620,Jagged Alliance 2 Gold,Strategy First
1630,Disciples II: Rise of the Elves ,Strategy First
1640,Disciples II: Gallean's Return,Strategy First
1670,Iron Warriors: T - 72 Tank Command ,Strategy First
1690,Space Empires V,Malfador Machinations
1700,Arx Fatalis,Arkane Studios
1840,Source Filmmaker,Valve
1900,Earth 2160,Reality Pump Studios
1930,Two Worlds Epic Edition,Reality Pump Studios
2100,Dark Messiah of Might &amp; Magic,Arkane Studios
2200,Quake III Arena,id Software
2210,Quake IV,RavenSoft / id Software
2270,Wolfenstein 3D,id Software
2280,Ultimate Doom,id Software
2290,Final DOOM,id Software
2300,DOOM II,id Software
2310,QUAKE,id Software
2320,QUAKE II,id Software
2330,QUAKE II Mission Pack: The Reckoning,Xatrix Entertainment
2340,QUAKE II Mission Pack: Ground Zero,Rogue Entertainment
2350,QUAKE III: Team Arena,id Software
2360,HeXen: Beyond Heretic,Raven Software
2370,HeXen: Deathkings of the Dark Citadel,Raven Software
2390,Heretic: Shadow of the Serpent Riders,Raven Software
2400,The Ship: Murder Party,Outerlight Ltd.
2420,The Ship: Single Player,Outerlight Ltd.
2450,Bloody Good Time,Outerlight Ltd.
2500,Shadowgrounds,Frozenbyte
2520,Gumboy - Crazy Adventures&trade;,"CINEMAX, s.r.o."
2540,RIP - Trilogy&trade;,Elephant Games
2570,Vigil: Blood Bitterness&trade;,Freegamer
2590,Alpha Prime,Black Element
2600,Vampire: The Masquerade - Bloodlines,Troika Games
2610,GUN&trade;,Neversoft
2620,Call of Duty&Acirc;&reg;,Infinity Ward
2630,Call of Duty&Acirc;&reg; 2,Infinity Ward,Aspyr (Mac)
2640,Call of Duty: United Offensive,Gray Matter Studios
2700,RollerCoaster Tycoon&Acirc;&reg; 3: Platinum,Frontier,Aspyr (Mac)
2710,Act of War: Direct Action,Eugen Systems
2720,ThreadSpace: Hyperbol,Iocaine Studios
2780,ARMA: Combat Operations,Bohemia Interactive
2800,X2: The Threat,Egosoft
2810,X3: Reunion,Egosoft
2820,X3: Terran Conflict,Egosoft
2840,X: Beyond the Frontier,Egosoft
2850,X: Tension,Egosoft
2870,X Rebirth,Egosoft
2900,688(I) Hunter/Killer,Sonalysts
2910,Fleet Command,Sonalysts
2920,Sub Command,Sonalysts
2990,FlatOut 2&trade;,Bugbear Entertainment
3000,GTI Racing,Techland
3010,Xpand Rally,Techland
3020,Call of Juarez&acirc;&#132;&cent;,Techland
3050,Xpand Rally Xtreme,Techland
3130,Men of War: Red Tide,1C Company
3170,King's Bounty: Armored Princess,Katauri Interactive
3200,Painkiller: Black Edition,People Can Fly
3230,Genesis Rising,Metamorf
3260,Safecracker: The Ultimate Puzzle Adventure,Kheops Studio
3270,Painkiller Overdose,Mindware Studios
3300,Bejeweled 2 Deluxe,"PopCap Games, Inc."
3310,Chuzzle Deluxe,"PopCap Games, Inc."
